"filename", "language", "JavaScript", "YAML", "Markdown", "Ruby", "Gemfile", "JSON", "HTML", "Draw.io", "erb", "SCSS", "CSS", "comment", "blank", "total"
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/mailers/application_mailer.rb", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/address.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/application_record.rb", "Ruby", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/item.rb", "Ruby", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/player.rb", "Ruby", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/purchase.rb", "Ruby", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/purchase_address.rb", "Ruby", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/quantity.rb", "Ruby", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/size.rb", "Ruby", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/team.rb", "Ruby", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/models/user.rb", "Ruby", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/confirmations/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/mailer/confirmation_instructions.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/mailer/email_changed.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/mailer/password_change.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/mailer/reset_password_instructions.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/mailer/unlock_instructions.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 8
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/passwords/edit.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/passwords/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/registrations/edit.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 10, 59
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/registrations/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 9, 79
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/sessions/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 3, 35
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/shared/_error_messages.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/shared/_links.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/shared/_second_header.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/shared/_second_under.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/devise/unlocks/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/items/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 53
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/items/show.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"/Users/tsuchiyakazuhiro/projects/original-app-36951/app/views/layouts/application.html.erb", "erb", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
